host_time,elapsed_s,case,device_label,score,feat_ms,infer_ms,alert_count,raw_line
2026-05-12T12:39:38.951294+00:00,1.484,normal_room,NORMAL,22.7369,32,27,0,[NORMAL] score=22.7369 | feat=32ms infer=27ms
2026-05-12T12:39:39.431137+00:00,1.969,normal_room,NORMAL,8.2809,32,27,0,[NORMAL] score=8.2809 | feat=32ms infer=27ms
2026-05-12T12:39:39.941358+00:00,2.469,normal_room,NORMAL,13.4773,33,26,0,[NORMAL] score=13.4773 | feat=33ms infer=26ms
2026-05-12T12:39:40.452567+00:00,2.984,normal_room,NORMAL,15.9333,33,26,0,[NORMAL] score=15.9333 | feat=33ms infer=26ms
2026-05-12T12:39:40.931498+00:00,3.469,normal_room,ABNORMAL,-10.0945,32,27,0,[ABNORMAL] score=-10.0945 | feat=32ms infer=27ms
2026-05-12T12:39:41.442159+00:00,3.969,normal_room,ABNORMAL,-25.154,32,27,0,[ABNORMAL] score=-25.1540 | feat=32ms infer=27ms
2026-05-12T12:39:41.953699+00:00,4.484,normal_room,ABNORMAL,-24.3026,32,27,3,[ABNORMAL] score=-24.3026 | feat=32ms infer=27ms *** ALERT (3 consecutive) ***
2026-05-12T12:39:42.432513+00:00,4.969,normal_room,ABNORMAL,-20.8277,32,27,4,[ABNORMAL] score=-20.8277 | feat=32ms infer=27ms *** ALERT (4 consecutive) ***
2026-05-12T12:39:42.944347+00:00,5.484,normal_room,ABNORMAL,-18.6104,32,27,5,[ABNORMAL] score=-18.6104 | feat=32ms infer=27ms *** ALERT (5 consecutive) ***
2026-05-12T12:39:43.454041+00:00,5.984,normal_room,NORMAL,19.1592,32,27,0,[NORMAL] score=19.1592 | feat=32ms infer=27ms
2026-05-12T12:39:43.934282+00:00,6.469,normal_room,ABNORMAL,-17.3846,33,26,0,[ABNORMAL] score=-17.3846 | feat=33ms infer=26ms
2026-05-12T12:39:44.444759+00:00,6.984,normal_room,ABNORMAL,-25.1501,32,27,0,[ABNORMAL] score=-25.1501 | feat=32ms infer=27ms
2026-05-12T12:39:44.956796+00:00,7.484,normal_room,ABNORMAL,-25.2571,32,27,3,[ABNORMAL] score=-25.2571 | feat=32ms infer=27ms *** ALERT (3 consecutive) ***
2026-05-12T12:39:45.436171+00:00,7.969,normal_room,ABNORMAL,-15.4858,33,26,4,[ABNORMAL] score=-15.4858 | feat=33ms infer=26ms *** ALERT (4 consecutive) ***
2026-05-12T12:39:45.946358+00:00,8.484,normal_room,NORMAL,25.6344,32,27,0,[NORMAL] score=25.6344 | feat=32ms infer=27ms
2026-05-12T12:39:46.456595+00:00,8.984,normal_room,NORMAL,18.5228,32,27,0,[NORMAL] score=18.5228 | feat=32ms infer=27ms
2026-05-12T12:39:46.936232+00:00,9.469,normal_room,NORMAL,13.0645,33,26,0,[NORMAL] score=13.0645 | feat=33ms infer=26ms
2026-05-12T12:39:47.446586+00:00,9.984,normal_room,NORMAL,15.424,32,27,0,[NORMAL] score=15.4240 | feat=32ms infer=27ms
2026-05-12T12:39:47.958172+00:00,10.484,normal_room,ABNORMAL,-15.2663,32,27,0,[ABNORMAL] score=-15.2663 | feat=32ms infer=27ms
