host_time,elapsed_s,case,device_label,score,feat_ms,infer_ms,alert_count,raw_line
2026-05-12T12:52:37.443924+00:00,1.531,normal_room,NORMAL,16.8033,32,27,0,[NORMAL] score=16.8033 | feat=32ms infer=27ms
2026-05-12T12:52:37.926040+00:00,2.000,normal_room,NORMAL,10.1872,32,27,0,[NORMAL] score=10.1872 | feat=32ms infer=27ms
2026-05-12T12:52:38.435329+00:00,2.516,normal_room,NORMAL,12.9152,33,26,0,[NORMAL] score=12.9152 | feat=33ms infer=26ms
2026-05-12T12:52:38.946254+00:00,3.031,normal_room,UNCERTAIN,-1.8133,33,26,0,[UNCERTAIN] score=-1.8133 | feat=33ms infer=26ms
2026-05-12T12:52:39.426364+00:00,3.500,normal_room,ABNORMAL,-13.4567,32,27,0,[ABNORMAL] score=-13.4567 | feat=32ms infer=27ms
2026-05-12T12:52:39.935953+00:00,4.016,normal_room,ABNORMAL,-24.178,32,27,0,[ABNORMAL] score=-24.1780 | feat=32ms infer=27ms
2026-05-12T12:52:40.447871+00:00,4.531,normal_room,ABNORMAL,-24.1199,32,27,3,[ABNORMAL] score=-24.1199 | feat=32ms infer=27ms *** ALERT (3 consecutive) ***
2026-05-12T12:52:40.927574+00:00,5.000,normal_room,ABNORMAL,-8.4827,33,26,4,[ABNORMAL] score=-8.4827 | feat=33ms infer=26ms *** ALERT (4 consecutive) ***
2026-05-12T12:52:41.436539+00:00,5.516,normal_room,NORMAL,13.9117,32,27,0,[NORMAL] score=13.9117 | feat=32ms infer=27ms
2026-05-12T12:52:41.948592+00:00,6.031,normal_room,UNCERTAIN,1.6006,32,27,0,[UNCERTAIN] score=1.6006 | feat=32ms infer=27ms
2026-05-12T12:52:42.427191+00:00,6.500,normal_room,ABNORMAL,-19.7153,33,26,0,[ABNORMAL] score=-19.7153 | feat=33ms infer=26ms
2026-05-12T12:52:42.937201+00:00,7.016,normal_room,ABNORMAL,-9.6479,32,27,0,[ABNORMAL] score=-9.6479 | feat=32ms infer=27ms
2026-05-12T12:52:43.448308+00:00,7.531,normal_room,NORMAL,6.2555,32,27,0,[NORMAL] score=6.2555 | feat=32ms infer=27ms
2026-05-12T12:52:43.928611+00:00,8.016,normal_room,NORMAL,9.8527,33,26,0,[NORMAL] score=9.8527 | feat=33ms infer=26ms
2026-05-12T12:52:44.438990+00:00,8.516,normal_room,NORMAL,11.1079,32,27,0,[NORMAL] score=11.1079 | feat=32ms infer=27ms
2026-05-12T12:52:44.949507+00:00,9.031,normal_room,NORMAL,11.7421,32,27,0,[NORMAL] score=11.7421 | feat=32ms infer=27ms
2026-05-12T12:52:45.428346+00:00,9.516,normal_room,UNCERTAIN,3.1915,33,26,0,[UNCERTAIN] score=3.1915 | feat=33ms infer=26ms
2026-05-12T12:52:45.940135+00:00,10.016,normal_room,UNCERTAIN,3.5555,32,27,0,[UNCERTAIN] score=3.5555 | feat=32ms infer=27ms
2026-05-12T12:52:46.450955+00:00,10.531,normal_room,NORMAL,8.5924,32,27,0,[NORMAL] score=8.5924 | feat=32ms infer=27ms
2026-05-12T12:52:46.930954+00:00,11.016,normal_room,UNCERTAIN,3.7342,33,26,0,[UNCERTAIN] score=3.7342 | feat=33ms infer=26ms
2026-05-12T12:52:47.441451+00:00,11.516,normal_room,NORMAL,13.8458,33,26,0,[NORMAL] score=13.8458 | feat=33ms infer=26ms
2026-05-12T12:52:47.952870+00:00,12.031,normal_room,ABNORMAL,-13.0587,33,26,0,[ABNORMAL] score=-13.0587 | feat=33ms infer=26ms
2026-05-12T12:52:48.431753+00:00,12.516,normal_room,ABNORMAL,-25.3282,33,26,0,[ABNORMAL] score=-25.3282 | feat=33ms infer=26ms
2026-05-12T12:52:48.943659+00:00,13.031,normal_room,ABNORMAL,-25.2008,33,26,3,[ABNORMAL] score=-25.2008 | feat=33ms infer=26ms *** ALERT (3 consecutive) ***
2026-05-12T12:52:49.454340+00:00,13.531,normal_room,ABNORMAL,-9.0534,33,26,4,[ABNORMAL] score=-9.0534 | feat=33ms infer=26ms *** ALERT (4 consecutive) ***
2026-05-12T12:52:49.932686+00:00,14.016,normal_room,UNCERTAIN,1.1824,33,26,4,[UNCERTAIN] score=1.1824 | feat=33ms infer=26ms *** ALERT (4 consecutive) ***
2026-05-12T12:52:50.443513+00:00,14.516,normal_room,ABNORMAL,-23.5165,33,26,5,[ABNORMAL] score=-23.5165 | feat=33ms infer=26ms *** ALERT (5 consecutive) ***
2026-05-12T12:52:50.955172+00:00,15.031,normal_room,ABNORMAL,-22.1707,33,26,6,[ABNORMAL] score=-22.1707 | feat=33ms infer=26ms *** ALERT (6 consecutive) ***
2026-05-12T12:52:51.435030+00:00,15.516,normal_room,ABNORMAL,-25.3389,33,26,7,[ABNORMAL] score=-25.3389 | feat=33ms infer=26ms *** ALERT (7 consecutive) ***
2026-05-12T12:52:51.945004+00:00,16.031,normal_room,ABNORMAL,-25.3545,33,26,8,[ABNORMAL] score=-25.3545 | feat=33ms infer=26ms *** ALERT (8 consecutive) ***
2026-05-12T12:52:52.424443+00:00,16.500,normal_room,ABNORMAL,-23.6467,33,26,9,[ABNORMAL] score=-23.6467 | feat=33ms infer=26ms *** ALERT (9 consecutive) ***
2026-05-12T12:52:52.935580+00:00,17.016,normal_room,ABNORMAL,-23.7937,33,26,10,[ABNORMAL] score=-23.7937 | feat=33ms infer=26ms *** ALERT (10 consecutive) ***
2026-05-12T12:52:53.446294+00:00,17.531,normal_room,ABNORMAL,-22.1992,33,26,11,[ABNORMAL] score=-22.1992 | feat=33ms infer=26ms *** ALERT (11 consecutive) ***
2026-05-12T12:52:53.926056+00:00,18.000,normal_room,ABNORMAL,-23.2167,33,26,12,[ABNORMAL] score=-23.2167 | feat=33ms infer=26ms *** ALERT (12 consecutive) ***
2026-05-12T12:52:54.436776+00:00,18.516,normal_room,ABNORMAL,-22.0057,33,26,13,[ABNORMAL] score=-22.0057 | feat=33ms infer=26ms *** ALERT (13 consecutive) ***
2026-05-12T12:52:54.946230+00:00,19.031,normal_room,NORMAL,6.0885,33,26,0,[NORMAL] score=6.0885 | feat=33ms infer=26ms
2026-05-12T12:52:55.426336+00:00,19.500,normal_room,ABNORMAL,-21.354,33,26,0,[ABNORMAL] score=-21.3540 | feat=33ms infer=26ms
